customer_id,total_revenue
1098,5094.86
1957,4716.5199999999995
1546,4092.48
1671,3963.96
1276,3805.71
1928,3690.7200000000003
1387,3510.92
1252,3424.6800000000003
1763,3300.3100000000004
1038,3286.62
1681,3193.27
1662,3178.2
1232,3164.24
1612,3121.55
1057,3119.63
1663,3049.6000000000004
1341,3015.76
1766,3002.64
1189,2982.76
1504,2891.67
1797,2883.8900000000003
1345,2835.41
1219,2803.92
1815,2757.18
1656,2748.2
1821,2737.87
1633,2710.52
1524,2670.01
1392,2640.66
1095,2624.17
1919,2618.78
1853,2598.92
1505,2596.4300000000003
1647,2596.04
1675,2585.51
1775,2532.22
1216,2517.6899999999996
1882,2509.19
1510,2464.57
1880,2446.2
1860,2443.8
1473,2427.76
1330,2424.66
1142,2410.6800000000003
1301,2399.0299999999997
1569,2319
1001,2314.2799999999997
1459,2270.12
1828,2265.87
1868,2263.07
1202,2258.84
1863,2253.27
1191,2216.42
1563,2182.67
1474,2173.12
1159,2147.44
1402,2130.02
1819,2126.27
1942,2107.6400000000003
1897,2071.98
1555,2065.33
1627,2060.9700000000003
1795,2058.6800000000003
1195,2053.24
1996,2027.84
1052,2025.48
1036,2024.0200000000002
1565,2006.66
1406,1999.09
1974,1992.76
1024,1987.8
1642,1960.36
1871,1948.35
1952,1947.6
1045,1934.92
1908,1932.76
1922,1928.88
1124,1926.36
1489,1924.35
1193,1912.96
1891,1901.12
1637,1875.46
1246,1855.8
1818,1841.7600000000002
1735,1841.3600000000001
1230,1830.7799999999997
1823,1824.72
1041,1820.72
1971,1816.4099999999999
1958,1811.1399999999999
1658,1805.2199999999998
1726,1804.64
1652,1802.55
1902,1801.28
1366,1788.3799999999999
1385,1782.9699999999998
1397,1774.2199999999998
1967,1733.22
1040,1730.67
1414,1720.1999999999998
1604,1717.96
1659,1698.52
1339,1688.72
1638,1686.08
1089,1685.25
1270,1683.31
1007,1681.88
1011,1681.77
1606,1672.6
1914,1670.64
1512,1668.4299999999998
1878,1663.3400000000001
1830,1662
1713,1660.36
1792,1659.92
1577,1639.2
1698,1616.63
1794,1614.7199999999998
1157,1611.12
1955,1602.32
1283,1590.64
1753,1580.7900000000002
1288,1576.4
1895,1576.04
1166,1563.96
1304,1559.82
1222,1558.76
1851,1558.75
1170,1557.36
1986,1553.76
1194,1548.6
1727,1543.08
1921,1537.3200000000002
1419,1521.5600000000002
1279,1514.0700000000002
1472,1510.71
1697,1501.27
1559,1492.32
1709,1484.1899999999998
1701,1479.96
1517,1476.3899999999999
1452,1474.76
1161,1464.18
1562,1462.6
1962,1460.72
1337,1458.6
1207,1458.42
1758,1450.8600000000001
1956,1441.35
1655,1440.52
1927,1426.28
1619,1423.2199999999998
1667,1419.8
1234,1416.9
1093,1398.66
1087,1396.92
1273,1396.16
1476,1382.17
1134,1371.82
1130,1368.13
1664,1367.49
1687,1365.18
1022,1362.81
1731,1361.84
1456,1360.68
1090,1360.12
1623,1351.26
1992,1350.6999999999998
1112,1349.19
1320,1348.04
1733,1347.3400000000001
1152,1344.68
1064,1344.24
1991,1340.07
1470,1332.48
1200,1320.5299999999997
1325,1311
1515,1308.12
1503,1307.82
1836,1300.6299999999999
1099,1297.03
1835,1292.28
1959,1287.9
1164,1283.1299999999999
1689,1279.48
1814,1273.48
1177,1266.42
1217,1262.94
1162,1260.9
1008,1260.86
1779,1254.8500000000001
1838,1246.92
1561,1243.8899999999999
1553,1233.64
1934,1226.8
1401,1219.56
1734,1207.25
1201,1205.28
1972,1202.44
1945,1193.56
1857,1191.72
1384,1190.63
1308,1188.21
1160,1180.6499999999999
1027,1178.04
1167,1170.17
1603,1152.12
1379,1150.68
1954,1147.82
1557,1145.1299999999999
1396,1140.9
1800,1138.77
1343,1136.56
1607,1133.39
1119,1125.28
1648,1122.42
1358,1117.36
1455,1116.8600000000001
1987,1100.31
1768,1093.8
1645,1093.64
1980,1090.76
1837,1090.6
1313,1085.1599999999999
1172,1081.3600000000001
1550,1075.16
1021,1072.13
1255,1059.41
1080,1053.78
1856,1052
1935,1036.99
1896,1030.96
1573,1026.15
1046,1025.94
1556,1021.6
1784,1019.1299999999999
1253,1013.95
1574,1012.36
1347,1011.69
1995,1005.51
1866,1004.99
1600,1004.76
1751,996.26
1241,995.5
1004,995.22
1812,994.14
1749,993.49
1488,990.5699999999999
1688,988.16
1224,985.98
1169,980.94
1111,979.68
1212,966.1200000000001
1395,965.9399999999999
1491,964.38
1676,958.5
1487,956.64
1782,936.6199999999999
1156,933.72
1372,930
1931,929.76
1016,928.71
1725,928.29
1034,925.17
1521,917.73
1126,916.53
1225,915.94
1703,909.1
1284,908.54
1019,908.12
1616,907.5899999999999
1480,907.08
1801,904.29
1848,903.92
1143,903.41
1074,891.2
1947,881.52
1750,881.25
1417,879.5699999999999
1732,878.32
1032,877.9
1407,877.6999999999999
1150,877.08
1009,876.8
1544,874.96
1950,872.24
1841,872.1299999999999
1786,869.06
1014,859.7
1502,859.3299999999999
1245,857.18
1471,855.6700000000001
1576,855.64
1438,854.08
1125,835.8
1635,833.06
1625,831.5600000000001
1595,828.44
1791,825.46
1282,823.97
1374,823.88
1102,818.47
1133,817.68
1624,812.3
1661,807.86
1391,807.12
1640,806.4000000000001
1071,806.04
1770,804.62
1973,804.56
1441,788.73
1183,787.8
1389,785.54
1258,781.78
1614,780.78
1509,766.44
1206,756.88
1761,756.01
1826,749.24
1431,747.9300000000001
1173,746.0999999999999
1450,743.08
1632,735.74
1587,732.87
1654,731.2
1789,730.83
1149,729.4
1127,728.44
1185,724.92
1326,723.12
1961,717.72
1154,714.87
1454,713.94
1690,712.27
1035,705.49
1911,703.56
1805,698
1131,695.6
1018,693.96
1190,693.48
1547,691.4
1496,690.5699999999999
1684,689.72
1700,679.11
1579,673.84
1790,673.41
1773,671.12
1924,669.72
1105,660.98
1484,660.9200000000001
1469,660.22
1229,656.73
1148,656.56
1608,655.21
1748,654.22
1186,653.04
1601,651.36
1322,646.2
1461,643.31
1539,640.44
1214,637.62
1757,632.56
1683,632.41
